CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,Cluster
C10001,-1.2052181828135593,-0.14875746307431595,-0.11353236046441266,-0.9870895765852097,0.3944798389468058,-0.9307329425951407,-0.7469013740517891,-0.7324799891645353,-0.6742533957391812,-0.7243603600361622,-0.8100687325890296,-0.5795095284785797,-1.4472807018474403,-0.8244840480758351,-0.8383833403439488,-0.5563680980605408,0.3456377082660897,1
C10002,0.9489176249415041,0.17961568357799731,-1.6798546150864755,-0.9870895765852097,-1.0874537591097875,1.528788189076239,-1.3027987264149463,-0.7324799891645353,-0.9582564749087101,0.6995922068580135,0.7846025455675872,-1.379210082932177,0.9259470191388945,1.0650331199443501,0.8612682296892433,0.3919579529213402,0.3456377082660897,0
C10003,0.824992579895208,0.4927100324032893,0.6007265159248166,1.0620216784933108,-1.0874537591097875,-0.9307329425951407,1.1968202744632475,2.4667619353593593,-0.9582564749087101,-0.7243603600361622,-0.8100687325890296,0.48786481188274256,1.010090572859898,-0.1192998791281338,0.4144107016889498,-0.5563680980605408,0.3456377082660897,1
C10004,0.6246531900738913,-0.857866802175031,0.8274988478905868,1.2657775245155067,-1.0874537591097875,0.5643724740062238,-1.0141507891799908,-0.3630418540307513,-0.9582564749087101,-0.2135834173806131,-0.12328119525403941,-0.874655209179811,1.010090572859898,-4.161996346159989,0.6814354402795678,-0.5563680980605408,0.3456377082660897,0
C10005,0.2712599653599899,0.4927100324032893,-0.7084812783670852,-0.11430675378239118,-1.0874537591097875,-0.9307329425951407,-1.0141507891799908,-0.3630418540307513,-0.9582564749087101,-0.7243603600361622,-0.8100687325890296,-0.874655209179811,-1.2249217337692597,-0.06497945744306327,-0.3697970701691825,-0.5563680980605408,0.3456377082660897,0
C10006,0.6655618142119589,0.4927100324032893,0.787360017455241,-0.9870895765852097,1.2468348885750633,-0.9307329425951407,0.5393351969939054,-0.7324799891645353,0.6722360735653292,-0.7243603600361622,-0.8100687325890296,0.2201910259750176,-0.7304173832358247,0.38980518262428354,1.5351738720398411,-0.5563680980605408,0.3456377082660897,1
C10007,0.13973745307319124,0.4927100324032893,1.3601209556697935,1.7128871331942417,1.032628884984895,-0.9307329425951407,1.1968202744632475,2.4667619353593593,1.5011392159124561,-0.7243603600361622,-0.8100687325890296,1.659404948660707,1.7269538914715123,1.3397887525901082,-0.5463122643871987,2.7192976514971123,0.3456377082660897,1
C10008,0.6693394387416488,0.4927100324032893,0.4048205365035175,-0.9870895765852097,0.8849054658572103,-0.9307329425951407,1.1968202744632475,-0.7324799891645353,1.5011392159124561,-0.7243603600361622,-0.8100687325890296,0.48786481188274256,-0.4314665746783974,-0.06430439898892928,0.2771583746428663,-0.5563680980605408,0.3456377082660897,1
C10009,0.3784634562797204,0.4927100324032893,0.6377655442551972,1.0140311640003792,0.6328340936702596,-0.9307329425951407,-0.2653640086876752,-0.3630418540307513,-0.16650790558846362,-0.7243603600361622,-0.8100687325890296,-0.07495465472621379,0.9259470191388945,-0.055849780066100994,-0.1677185900902581,-0.5563680980605408,0.3456377082660897,1
C10010,-0.5611608009782971,-1.2425608295863104,0.7738164815999203,1.217543703990703,-1.0874537591097875,-0.9307329425951407,-0.7469013740517891,-0.020991512405789163,-0.9582564749087101,-0.7243603600361622,-0.8100687325890296,-0.3701003354274451,1.4771870780189056,0.27430086694907163,-1.113354671013071,-0.5563680980605408,0.3456377082660897,1
